timepoint,well,condition,condition_tag,Mg++ [mM],T7RNAP [ng/uL],ribosome [uM],DNA [nM],energy_mix,protein_mix,fluorescence [AU],background_fluorescence [AU],background_subtracted_fluorescence [AU],row,column
1,A:1,exp,exp,4,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1439670,1589516.5,-149846.5,A,1
1,A:3,exp,exp,6,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1417341,1589516.5,-172175.5,A,3
1,A:5,exp,exp,8,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1520837,1589516.5,-68679.5,A,5
1,A:7,exp,exp,10,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1551417,1589516.5,-38099.5,A,7
1,A:9,exp,exp,12,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1526917,1589516.5,-62599.5,A,9
1,A:11,exp,exp,14,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1548994,1589516.5,-40522.5,A,11
1,A:13,exp,exp,16,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1569902,1589516.5,-19614.5,A,13
1,A:15,exp,exp,18,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1469994,1589516.5,-119522.5,A,15
1,A:17,exp,exp,20,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1525824,1589516.5,-63692.5,A,17
1,A:19,exp,exp,22,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1482102,1589516.5,-107414.5,A,19
1,A:21,exp,exp,24,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1461695,1589516.5,-127821.5,A,21
1,A:23,exp,exp,26,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1398674,1589516.5,-190842.5,A,23
1,B:24,NEB (-),control,,,,0,NEB SolA,NEB SolB,1937630,1589516.5,348113.5,B,24
1,B:18,ProtMix Control,control,,,,35,b.next eng mix,NEB SolB,1593017,1589516.5,3500.5,B,18
1,B:12,H2O,control,,,,0,H2O,H2O,1650244,1589516.5,60727.5,B,12
1,B:6,NEB (+),control,,,,35,NEB SolA,NEB SolB,2176131,1589516.5,586614.5,B,6
1,C:1,exp,exp,4,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1448914,1589516.5,-140602.5,C,1
1,C:3,exp,exp,6,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1481925,1589516.5,-107591.5,C,3
1,C:5,exp,exp,8,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1492753,1589516.5,-96763.5,C,5
1,C:7,exp,exp,10,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1573783,1589516.5,-15733.5,C,7
1,C:9,exp,exp,12,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1498693,1589516.5,-90823.5,C,9
1,C:11,exp,exp,14,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1667662,1589516.5,78145.5,C,11
1,C:13,exp,exp,16,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1656401,1589516.5,66884.5,C,13
1,C:15,exp,exp,18,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1598262,1589516.5,8745.5,C,15
1,C:17,exp,exp,20,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1587965,1589516.5,-1551.5,C,17
1,C:19,exp,exp,22,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1580444,1589516.5,-9072.5,C,19
1,C:21,exp,exp,24,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1562203,1589516.5,-27313.5,C,21
1,C:23,exp,exp,26,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1441379,1589516.5,-148137.5,C,23
1,E:1,exp,exp,4,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1446055,1589516.5,-143461.5,E,1
1,E:3,exp,exp,6,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1435145,1589516.5,-154371.5,E,3
1,E:5,exp,exp,8,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1553886,1589516.5,-35630.5,E,5
1,E:7,exp,exp,10,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1608800,1589516.5,19283.5,E,7
1,E:9,exp,exp,12,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1481903,1589516.5,-107613.5,E,9
1,E:11,exp,exp,14,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1559897,1589516.5,-29619.5,E,11
1,E:13,exp,exp,16,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1672371,1589516.5,82854.5,E,13
