,Well,Label,Tag,Mg,T7RNAP,Ribosome,EnergyMix,ProtMix,DNA,Row,Column
0,A:1,exp,exp,4.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,1
1,C:1,exp,exp,4.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,1
2,E:1,exp,exp,4.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,1
3,G:1,exp,exp,4.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,1
4,I:1,exp,exp,4.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,1
5,K:1,exp,exp,4.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,1
6,M:1,exp,exp,4.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,1
7,O:1,exp,exp,4.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,1
8,A:3,exp,exp,6.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,3
9,C:3,exp,exp,6.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,3
10,E:3,exp,exp,6.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,3
11,G:3,exp,exp,6.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,3
12,I:3,exp,exp,6.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,3
13,K:3,exp,exp,6.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,3
14,M:3,exp,exp,6.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,3
15,O:3,exp,exp,6.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,3
16,A:5,exp,exp,8.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,5
17,C:5,exp,exp,8.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,5
18,E:5,exp,exp,8.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,5
19,G:5,exp,exp,8.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,5
20,I:5,exp,exp,8.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,5
21,K:5,exp,exp,8.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,5
22,M:5,exp,exp,8.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,5
23,O:5,exp,exp,8.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,5
24,A:7,exp,exp,10.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,7
25,C:7,exp,exp,10.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,7
